Active ingredient name - English,Active ingredient name - French,Reevaluation status,CAS number
2-PHENYLPHENOL,2-PHÉNYLPHÉNOL (N.M.),YES,90-43-7
2-PHENYLPHENOL (PRESENT AS POTASSIUM SALT),2-PHÉNYLPHÉNOL (PRÉSENT SOUS FORME DE SEL DE POTASSIUM),YES,13707-65-8
2-PHENYLPHENOL (PRESENT AS SODIUM SALT),2-PHÉNYLPHÉNOL (N.M.) (PRÉSENT SOUS FORME DE SEL DE SODIUM),YES,132-27-4
"3,3'-METHYLENEBIS(5-METHYLOXAZOLIDINE)","3,3'-METHYLENEBIS(5-METHYLOXAZOLIDINE)",NO,66204-44-2
"3,7-DIMETHYL-1,6-OCTADIEN-3-OL","3,7-DIMETHYL-1,6-OCTADIEN-3-OL",NO,78-70-6
"3-(TRIHYDROXYSILYL)PROPYLDIMETHYLOCTADECYL AMMONIUM CHLORIDE
",CHLORURE D'AMMONIUM (TRIHYDROXYSILYL)-3 PROPYLDIMETHYLOCTADECYL (N.M.),NO,199111-50-7
3-(TRIMETHOXYSILYL)PROPYLDIMETHYLOCTADECYL AMMONIUM CHLORIDE,CHLORURE D'AMMONIUM (3-(TRIMÉTHOXYSILYL) PROPYLDIMÉTHYLOCTADÉCYL),NO,27668-52-6
"3-CHLORO-1,2-PROPANEDIOL","CHLORO-3 PROPANE DIOL-1,2",NO,96-24-2
3-CHLORO-4-METHYLANILINE HYDROCHLORIDE,"3-CHLORO-4-MÉTHYLANILINE, CHLORHYDRATE",NO,7745-89-3
3-DECEN-2-ONE,3-DÉCÉN-2-ONE,NO,10519-33-2
3-IODO-2-PROPYNYL BUTYL CARBAMATE,N-BUTYLCARBAMATE DE 3-IODO-2-PROPYN-1-YLE,YES,55406-53-6
"3-KETOPETROMYZONOL-24-SULFATE, AMMONIUM SALT","3-KETOPETROMYZONOL-24-SULFATE, SEL D'AMMONIUM",NO,
3-METHYL-2-CYCLOHEXEN-1-ONE,3-MÉTHYLE-2-CYCLOHEXÈNE-1-ONE,NO,1193-18-6
